memory_id,user_id,timestamp,memory_text,category,importance_score,emotional_score,keywords,embedding_vector,source,last_accessed,access_count,expiry_score,context_tags,linked_memories,sentiment,confidence_score
M0201,U169,2025-10-30 14:34:46,User enjoys studying machine learning,habit,6.5,4.1,"AI, learning, career","[-0.306, -0.7628, -0.5787, 0.3894, 0.4075]",document,2025-12-20 14:34:46,5,0.65,"technology, education","M0123, M0734",neutral,0.92
M0202,U071,2024-08-27 14:34:46,User is building an AI memory engine,relationship,6.2,9.3,"AI, learning, career","[0.5522, -0.4485, 0.7653, -0.133, 0.415]",voice,2024-09-11 14:34:46,13,0.09,"technology, education","M0058, M0559",positive,0.66
M0203,U201,2026-01-22 14:34:46,User is building an AI memory engine,study,6.3,5.5,"AI, learning, career","[0.1158, 0.943, 0.2617, 0.8092, -0.4708]",chatbot,2026-05-01 14:34:46,3,0.29,"technology, education","M0675, M0230",positive,0.6
M0204,U147,2024-08-22 14:34:46,User practices coding daily,study,6.3,7.7,"AI, learning, career","[0.3031, -0.0994, -0.3252, -0.6812, 0.2133]",document,2024-09-01 14:34:46,4,0.59,"technology, education","M0800, M0197",negative,0.53
M0205,U076,2025-09-14 14:34:46,User practices coding daily,skill,6.2,8.0,"AI, learning, career","[0.1963, -0.8612, -0.0234, 0.0282, -0.9532]",voice,2025-09-28 14:34:46,20,0.27,"technology, education","M0316, M0488",positive,0.66
M0206,U161,2026-02-04 14:34:46,User wants to become an AI engineer,event,9.3,1.9,"AI, learning, career","[-0.9888, 0.4623, -0.6345, -0.222, -0.4366]",voice,2026-02-24 14:34:46,4,0.94,"technology, education","M0630, M0987",positive,0.73
M0207,U179,2025-12-29 14:34:46,User is building an AI memory engine,personal_info,5.9,8.1,"AI, learning, career","[-0.066, 0.8917, 0.5472, 0.4418, 0.2669]",voice,2026-03-30 14:34:46,11,0.38,"technology, education","M0917, M0498",neutral,0.57
M0208,U030,2025-01-29 14:34:46,User enjoys studying machine learning,career_goal,7.4,2.3,"AI, learning, career","[-0.0359, 0.9457, 0.2173, -0.54, 0.5334]",voice,2025-04-17 14:34:46,15,0.95,"technology, education","M0962, M0093",positive,0.66
M0209,U007,2025-04-16 14:34:46,User wants to become an AI engineer,career_goal,1.8,4.5,"AI, learning, career","[0.7507, -0.1453, -0.5762, 0.2554, -0.8473]",document,2025-07-03 14:34:46,0,0.16,"technology, education","M0198, M0463",neutral,0.7
M0210,U102,2024-12-26 14:34:46,User practices coding daily,relationship,9.1,5.4,"AI, learning, career","[-0.113, 0.948, 0.2391, -0.7436, -0.0475]",voice,2025-03-15 14:34:46,7,0.76,"technology, education","M0035, M0753",neutral,0.71
M0211,U119,2025-04-15 14:34:46,User enjoys studying machine learning,study,4.2,2.4,"AI, learning, career","[0.2444, -0.1046, -0.0652, -0.9995, 0.8285]",image,2025-04-16 14:34:46,13,0.25,"technology, education","M0587, M0541",negative,0.59
M0212,U222,2026-05-03 14:34:46,User completed a cloud computing project,relationship,2.1,6.7,"AI, learning, career","[-0.1747, 0.1051, 0.5184, 0.4377, 0.4599]",image,2026-05-30 14:34:46,2,0.24,"technology, education","M0935, M0605",negative,0.65
M0213,U177,2024-12-11 14:34:46,User practices coding daily,schedule,8.0,2.5,"AI, learning, career","[0.0118, 0.7509, 0.1767, 0.5683, 0.7616]",image,2025-01-17 14:34:46,17,0.91,"technology, education","M0052, M0650",negative,0.71
M0214,U027,2025-10-01 14:34:46,User is building an AI memory engine,schedule,8.3,1.4,"AI, learning, career","[0.2455, 0.1657, -0.9803, 0.1794, 0.4546]",voice,2025-12-31 14:34:46,8,0.17,"technology, education","M0429, M0041",neutral,0.65
M0215,U150,2026-04-05 14:34:46,User completed a cloud computing project,habit,7.8,3.3,"AI, learning, career","[-0.5789, 0.2742, -0.6933, 0.0512, -0.9403]",document,2026-07-24 14:34:46,3,0.58,"technology, education","M0715, M0202",neutral,0.78
M0216,U194,2025-06-30 14:34:46,User is building an AI memory engine,relationship,2.9,8.9,"AI, learning, career","[0.7045, 0.6132, 0.4856, -0.9353, -0.8257]",document,2025-08-15 14:34:46,18,0.62,"technology, education","M0978, M0746",positive,0.68
M0217,U157,2025-01-21 14:34:46,User wants to become an AI engineer,project,9.9,5.1,"AI, learning, career","[-0.2866, -0.7393, -0.1942, -0.1743, -0.3642]",chatbot,2025-04-03 14:34:46,6,0.34,"technology, education","M0206, M0512",negative,0.79
M0218,U183,2024-10-01 14:34:46,User wants to become an AI engineer,study,7.1,5.1,"AI, learning, career","[-0.1582, -0.1961, 0.3597, -0.1652, -0.3965]",voice,2024-12-09 14:34:46,17,0.97,"technology, education","M0927, M0578",negative,0.84
M0219,U056,2024-07-04 14:34:46,User is building an AI memory engine,skill,4.7,6.0,"AI, learning, career","[0.2626, -0.976, 0.0195, -0.3692, 0.5491]",image,2024-07-06 14:34:46,13,0.49,"technology, education","M0675, M0497",neutral,0.82
M0220,U181,2024-09-19 14:34:46,User completed a cloud computing project,project,8.1,3.4,"AI, learning, career","[-0.9379, -0.3169, -0.175, -0.3624, 0.9888]",image,2024-11-24 14:34:46,20,0.27,"technology, education","M0758, M0875",neutral,0.84
M0221,U204,2026-03-21 14:34:46,User practices coding daily,emotion,7.9,3.9,"AI, learning, career","[-0.1782, 0.3566, -0.269, -0.497, -0.5564]",voice,2026-06-02 14:34:46,17,0.57,"technology, education","M0095, M0980",negative,0.95
M0222,U038,2024-12-04 14:34:46,User completed a cloud computing project,career_goal,1.8,2.4,"AI, learning, career","[-0.2524, -0.4056, 0.1085, 0.644, -0.6449]",voice,2024-12-10 14:34:46,12,0.95,"technology, education","M0369, M0084",negative,0.64
M0223,U056,2026-03-18 14:34:46,User wants to become an AI engineer,emotion,2.2,8.3,"AI, learning, career","[-0.395, -0.6232, 0.8253, -0.4664, 0.7172]",image,2026-04-06 14:34:46,14,0.01,"technology, education","M0760, M0276",positive,0.69
M0224,U018,2024-06-26 14:34:46,User is building an AI memory engine,personal_info,2.3,6.8,"AI, learning, career","[0.2934, -0.1389, -0.6536, -0.3923, -0.8655]",document,2024-08-04 14:34:46,15,0.49,"technology, education","M0161, M0455",positive,0.53
M0225,U029,2024-12-25 14:34:46,User practices coding daily,habit,9.4,5.7,"AI, learning, career","[0.4817, 0.3046, -0.2245, -0.3175, 0.129]",document,2025-04-11 14:34:46,6,0.39,"technology, education","M0490, M0106",positive,0.88
M0226,U108,2025-09-29 14:34:46,User practices coding daily,skill,10.0,6.4,"AI, learning, career","[-0.8177, 0.9348, -0.4521, 0.6187, -0.7581]",document,2025-10-03 14:34:46,16,0.14,"technology, education","M0093, M0918",negative,0.93
M0227,U127,2025-08-28 14:34:46,User wants to become an AI engineer,emotion,2.6,6.6,"AI, learning, career","[-0.9972, 0.9554, -0.8736, 0.1645, 0.8224]",image,2025-11-30 14:34:46,5,0.94,"technology, education","M0105, M0958",neutral,0.94
M0228,U228,2026-02-25 14:34:46,User practices coding daily,study,5.6,9.4,"AI, learning, career","[0.5472, 0.8233, 0.3615, 0.8629, -0.8999]",voice,2026-06-11 14:34:46,11,0.0,"technology, education","M0370, M0849",positive,0.72
M0229,U010,2025-11-11 14:34:46,User practices coding daily,career_goal,4.3,6.0,"AI, learning, career","[-0.2593, -0.4936, -0.8279, 0.8095, 0.7575]",chatbot,2025-12-17 14:34:46,13,0.34,"technology, education","M0909, M0614",neutral,0.53
M0230,U147,2025-04-23 14:34:46,User wants to become an AI engineer,habit,3.8,2.2,"AI, learning, career","[0.7497, -0.9755, -0.8755, 0.0931, 0.8123]",voice,2025-05-22 14:34:46,17,0.31,"technology, education","M0122, M0343",positive,0.91
M0231,U179,2026-01-20 14:34:46,User completed a cloud computing project,study,10.0,2.1,"AI, learning, career","[0.5828, -0.7961, 0.2511, 0.3419, -0.8765]",voice,2026-02-28 14:34:46,20,1.0,"technology, education","M0151, M0958",neutral,0.91
M0232,U194,2024-08-13 14:34:46,User enjoys studying machine learning,personal_info,8.9,7.2,"AI, learning, career","[-0.2136, -0.5189, 0.7887, -0.9961, 0.9084]",document,2024-10-28 14:34:46,16,0.49,"technology, education","M0844, M0138",neutral,0.9
M0233,U219,2026-01-28 14:34:46,User completed a cloud computing project,study,3.1,2.7,"AI, learning, career","[-0.7638, 0.6992, -0.5096, 0.3748, -0.1398]",document,2026-02-22 14:34:46,17,0.9,"technology, education","M0602, M0294",neutral,0.65
M0234,U139,2025-03-21 14:34:46,User enjoys studying machine learning,emotion,2.5,2.7,"AI, learning, career","[0.7294, 0.4023, 0.1228, 0.6535, -0.0154]",image,2025-05-03 14:34:46,6,0.42,"technology, education","M0644, M0790",neutral,0.99
M0235,U045,2024-11-30 14:34:46,User wants to become an AI engineer,relationship,3.1,3.4,"AI, learning, career","[0.8948, -0.4432, -0.4183, -0.8981, 0.4146]",document,2025-03-25 14:34:46,16,0.07,"technology, education","M0867, M0947",positive,0.55
M0236,U036,2024-10-22 14:34:46,User practices coding daily,personal_info,3.4,7.3,"AI, learning, career","[-0.6464, -0.4802, -0.5098, -0.3447, -0.0441]",document,2024-12-11 14:34:46,4,0.7,"technology, education","M0700, M0746",positive,0.8
M0237,U217,2025-06-01 14:34:46,User enjoys studying machine learning,career_goal,5.3,2.5,"AI, learning, career","[-0.5046, -0.2401, 0.394, 0.6719, 0.9597]",chatbot,2025-07-11 14:34:46,10,0.79,"technology, education","M0734, M0169",positive,0.56
M0238,U022,2026-02-21 14:34:46,User wants to become an AI engineer,habit,7.0,3.4,"AI, learning, career","[-0.1966, 0.4432, -0.0074, -0.8134, -0.8595]",chatbot,2026-04-27 14:34:46,3,0.42,"technology, education","M0691, M0607",positive,0.57
M0239,U076,2025-03-27 14:34:46,User completed a cloud computing project,event,8.2,5.1,"AI, learning, career","[-0.2321, 0.0289, 0.5108, -0.7315, 0.5151]",image,2025-06-27 14:34:46,12,0.58,"technology, education","M0386, M0259",positive,0.89
M0240,U009,2025-05-28 14:34:46,User is building an AI memory engine,schedule,3.1,3.4,"AI, learning, career","[-0.7133, -0.9662, 0.5377, 0.8183, 0.1031]",chatbot,2025-09-17 14:34:46,18,0.27,"technology, education","M0346, M0209",positive,0.7
M0241,U205,2025-09-17 14:34:46,User completed a cloud computing project,habit,2.7,9.3,"AI, learning, career","[-0.2727, -0.5046, 0.2293, -0.6742, 0.2381]",voice,2026-01-04 14:34:46,11,0.43,"technology, education","M0120, M0590",neutral,0.66
M0242,U102,2025-03-05 14:34:46,User practices coding daily,emotion,3.3,3.4,"AI, learning, career","[0.3486, -0.2174, 0.8424, 0.175, -0.5815]",image,2025-04-10 14:34:46,20,0.68,"technology, education","M0727, M0731",negative,0.77
M0243,U130,2026-02-22 14:34:46,User completed a cloud computing project,schedule,2.3,6.1,"AI, learning, career","[0.279, 0.1063, 0.1888, 0.2676, -0.0406]",voice,2026-05-17 14:34:46,2,0.06,"technology, education","M0838, M0959",negative,0.65
M0244,U086,2024-10-22 14:34:46,User is building an AI memory engine,study,1.6,6.7,"AI, learning, career","[0.3356, -0.2689, 0.2083, 0.3632, -0.5362]",document,2024-12-10 14:34:46,18,0.96,"technology, education","M0420, M0303",negative,0.91
M0245,U218,2026-02-17 14:34:46,User is building an AI memory engine,skill,7.6,5.3,"AI, learning, career","[-0.7881, -0.108, -0.2173, -0.2463, -0.896]",document,2026-02-25 14:34:46,15,0.66,"technology, education","M0895, M0294",negative,0.82
M0246,U121,2024-10-31 14:34:46,User is building an AI memory engine,habit,4.2,1.3,"AI, learning, career","[-0.5941, 0.65, 0.3113, 0.9982, -0.0777]",image,2025-01-20 14:34:46,7,0.93,"technology, education","M0300, M0183",positive,0.74
M0247,U164,2025-08-18 14:34:46,User wants to become an AI engineer,project,8.8,8.7,"AI, learning, career","[-0.3198, -0.3771, -0.4631, -0.4629, -0.0038]",chatbot,2025-11-02 14:34:46,7,0.82,"technology, education","M0723, M0959",negative,0.9
M0248,U181,2024-07-17 14:34:46,User practices coding daily,habit,5.3,4.3,"AI, learning, career","[0.5654, 0.3262, -0.0703, 0.4055, -0.4065]",chatbot,2024-09-18 14:34:46,1,0.5,"technology, education","M0577, M0901",positive,0.94
M0249,U039,2026-05-13 14:34:46,User practices coding daily,habit,1.8,2.4,"AI, learning, career","[0.6145, -0.2493, 0.9089, 0.7859, 0.6671]",document,2026-06-19 14:34:46,6,0.08,"technology, education","M0988, M0082",negative,0.94
M0250,U063,2026-04-16 14:34:46,User wants to become an AI engineer,study,3.2,2.5,"AI, learning, career","[0.6559, 0.4901, 0.9483, 0.6441, -0.4407]",chatbot,2026-05-10 14:34:46,15,0.5,"technology, education","M0695, M0001",positive,0.59
M0251,U087,2025-10-23 14:34:46,User practices coding daily,relationship,9.7,9.0,"AI, learning, career","[0.0452, -0.8992, 0.248, 0.9603, -0.5945]",chatbot,2025-12-06 14:34:46,20,0.15,"technology, education","M0702, M0820",negative,0.97
M0252,U116,2025-12-07 14:34:46,User completed a cloud computing project,personal_info,4.7,4.5,"AI, learning, career","[0.593, -0.5887, -0.2099, 0.141, -0.2806]",voice,2026-02-27 14:34:46,16,0.15,"technology, education","M0720, M0958",positive,0.69
M0253,U053,2025-11-01 14:34:46,User completed a cloud computing project,emotion,3.0,4.1,"AI, learning, career","[0.0819, -0.6339, 0.6864, 0.093, 0.277]",document,2026-01-16 14:34:46,11,0.15,"technology, education","M0302, M0702",negative,0.52
M0254,U153,2025-01-24 14:34:46,User completed a cloud computing project,career_goal,7.6,6.1,"AI, learning, career","[0.3179, -0.3278, 0.479, 0.8478, 0.9489]",document,2025-05-08 14:34:46,10,0.19,"technology, education","M0691, M0595",neutral,0.8
M0255,U161,2024-10-01 14:34:46,User wants to become an AI engineer,project,3.3,7.5,"AI, learning, career","[0.8841, 0.6836, 0.4933, 0.6232, -0.7001]",chatbot,2024-11-29 14:34:46,5,0.54,"technology, education","M0036, M0112",positive,0.97
M0256,U089,2025-05-01 14:34:46,User completed a cloud computing project,emotion,9.6,2.7,"AI, learning, career","[0.5985, -0.6729, -0.7834, 0.1539, -0.6562]",image,2025-06-22 14:34:46,4,0.3,"technology, education","M0327, M0266",neutral,0.64
M0257,U157,2025-08-07 14:34:46,User is building an AI memory engine,event,6.8,4.4,"AI, learning, career","[-0.3225, 0.5235, -0.9389, 0.2184, 0.7201]",image,2025-09-22 14:34:46,3,0.48,"technology, education","M0688, M0797",negative,0.96
M0258,U049,2025-06-14 14:34:46,User wants to become an AI engineer,emotion,5.2,5.0,"AI, learning, career","[0.0145, 0.3382, 0.4678, -0.5004, -0.2216]",document,2025-06-22 14:34:46,4,0.98,"technology, education","M0154, M0275",neutral,0.67
M0259,U246,2025-04-02 14:34:46,User completed a cloud computing project,project,9.1,7.2,"AI, learning, career","[-0.2489, -0.7724, 0.5513, -0.7271, 0.2246]",image,2025-04-28 14:34:46,9,0.14,"technology, education","M0871, M0562",positive,0.76
M0260,U132,2026-04-09 14:34:46,User is building an AI memory engine,event,2.6,6.1,"AI, learning, career","[-0.4679, -0.824, -0.6586, 0.8756, -0.7642]",document,2026-06-27 14:34:46,17,0.73,"technology, education","M0397, M0357",neutral,0.98
M0261,U039,2025-05-27 14:34:46,User wants to become an AI engineer,skill,2.7,4.4,"AI, learning, career","[-0.1489, -0.9536, 0.7077, 0.6758, -0.3528]",chatbot,2025-08-08 14:34:46,0,0.45,"technology, education","M0009, M0410",neutral,0.71
M0262,U131,2025-07-18 14:34:46,User is building an AI memory engine,career_goal,10.0,3.8,"AI, learning, career","[0.8077, 0.3189, -0.4503, -0.0606, -0.2062]",document,2025-10-26 14:34:46,0,0.94,"technology, education","M0538, M0373",positive,0.84
M0263,U131,2024-12-15 14:34:46,User practices coding daily,personal_info,1.8,1.8,"AI, learning, career","[-0.2159, -0.4327, 0.433, -0.6882, -0.8485]",chatbot,2024-12-26 14:34:46,19,0.42,"technology, education","M0845, M0348",positive,0.65
M0264,U174,2026-02-24 14:34:46,User enjoys studying machine learning,habit,8.1,6.4,"AI, learning, career","[-0.9511, -0.8777, -0.4122, -0.5188, 0.3019]",image,2026-03-20 14:34:46,20,0.27,"technology, education","M0607, M0665",negative,0.81
M0265,U183,2024-12-22 14:34:46,User completed a cloud computing project,project,8.4,6.1,"AI, learning, career","[-0.9988, 0.0853, 0.3467, -0.5419, 0.6052]",document,2025-02-28 14:34:46,10,0.82,"technology, education","M0762, M0870",neutral,0.52
M0266,U134,2025-04-26 14:34:46,User completed a cloud computing project,schedule,6.4,1.7,"AI, learning, career","[0.9677, 0.6441, -0.3293, -0.9434, -0.1748]",document,2025-08-16 14:34:46,17,0.35,"technology, education","M0204, M0539",negative,0.56
M0267,U033,2025-04-05 14:34:46,User is building an AI memory engine,emotion,7.6,3.9,"AI, learning, career","[-0.2533, 0.0428, -0.5444, -0.1225, 0.9762]",image,2025-07-06 14:34:46,15,0.09,"technology, education","M0571, M0848",negative,0.73
M0268,U199,2026-05-17 14:34:46,User completed a cloud computing project,study,7.0,9.1,"AI, learning, career","[0.5321, 0.7102, -0.7153, 0.4165, 0.4752]",chatbot,2026-06-06 14:34:46,14,0.98,"technology, education","M0139, M0656",positive,0.66
M0269,U182,2026-05-04 14:34:46,User wants to become an AI engineer,personal_info,4.8,7.0,"AI, learning, career","[0.8414, -0.1793, -0.1294, 0.3858, 0.774]",image,2026-08-05 14:34:46,5,0.53,"technology, education","M0019, M0006",negative,0.74
M0270,U111,2025-07-06 14:34:46,User completed a cloud computing project,habit,5.9,4.3,"AI, learning, career","[0.8093, -0.5843, 0.9964, 0.3498, 0.0245]",voice,2025-08-10 14:34:46,19,0.24,"technology, education","M0526, M0990",negative,0.52
M0271,U142,2025-10-31 14:34:46,User is building an AI memory engine,schedule,9.0,1.3,"AI, learning, career","[0.071, -0.3111, -0.5963, 0.5324, 0.7319]",chatbot,2026-02-25 14:34:46,13,0.26,"technology, education","M0189, M0074",positive,0.89
M0272,U145,2025-10-21 14:34:46,User practices coding daily,project,8.9,2.9,"AI, learning, career","[-0.8024, 0.2795, -0.3876, -0.8836, -0.9008]",image,2025-11-16 14:34:46,12,0.34,"technology, education","M0227, M0236",neutral,0.88
M0273,U046,2025-07-16 14:34:46,User practices coding daily,event,4.5,9.3,"AI, learning, career","[-0.9752, -0.9715, 0.6291, 0.5146, -0.9796]",chatbot,2025-08-17 14:34:46,16,0.62,"technology, education","M0701, M0795",negative,0.65
M0274,U041,2025-07-04 14:34:46,User wants to become an AI engineer,career_goal,6.7,6.9,"AI, learning, career","[0.5843, -0.0238, 0.8741, -0.8266, 0.6965]",document,2025-08-19 14:34:46,16,0.26,"technology, education","M0272, M0792",negative,0.52
M0275,U049,2024-06-24 14:34:46,User wants to become an AI engineer,personal_info,9.3,2.4,"AI, learning, career","[0.38, 0.364, 0.2868, 0.0998, -0.148]",image,2024-08-16 14:34:46,9,0.31,"technology, education","M0500, M0693",neutral,0.53
M0276,U124,2024-11-22 14:34:46,User is building an AI memory engine,personal_info,9.1,1.5,"AI, learning, career","[-0.7771, 0.2745, 0.3857, 0.7519, -0.1113]",voice,2024-12-03 14:34:46,13,0.06,"technology, education","M0864, M0041",negative,0.69
M0277,U178,2024-12-29 14:34:46,User enjoys studying machine learning,skill,7.4,4.4,"AI, learning, career","[0.668, -0.1713, 0.8229, 0.4277, 0.0742]",voice,2025-01-04 14:34:46,0,0.52,"technology, education","M0549, M0622",positive,0.91
M0278,U146,2025-08-15 14:34:46,User enjoys studying machine learning,event,2.5,1.4,"AI, learning, career","[0.8991, -0.4401, -0.0509, -0.6372, 0.0403]",voice,2025-08-28 14:34:46,20,0.99,"technology, education","M0339, M0977",positive,0.71
M0279,U048,2025-09-04 14:34:46,User completed a cloud computing project,study,7.0,1.4,"AI, learning, career","[-0.2183, 0.2758, 0.3771, -0.9267, 0.3974]",voice,2026-01-01 14:34:46,14,0.67,"technology, education","M0664, M0180",negative,0.51
M0280,U215,2025-10-06 14:34:46,User is building an AI memory engine,study,3.7,4.5,"AI, learning, career","[0.0888, 0.3969, -0.6328, 0.6775, 0.1712]",document,2026-01-27 14:34:46,1,0.76,"technology, education","M0364, M0452",negative,0.96
M0281,U051,2026-02-04 14:34:46,User practices coding daily,study,4.8,7.0,"AI, learning, career","[0.3984, 0.3552, -0.5465, 0.8014, 0.2812]",image,2026-04-24 14:34:46,2,0.33,"technology, education","M0907, M0395",negative,0.95
M0282,U221,2025-02-22 14:34:46,User practices coding daily,schedule,3.0,8.3,"AI, learning, career","[0.4477, -0.6719, 0.9555, 0.674, 0.8737]",voice,2025-04-29 14:34:46,13,0.61,"technology, education","M0399, M0429",negative,0.92
M0283,U076,2025-11-16 14:34:46,User practices coding daily,career_goal,5.8,5.0,"AI, learning, career","[0.4493, 0.3487, -0.507, -0.8456, 0.9753]",image,2025-12-12 14:34:46,14,0.5,"technology, education","M0654, M0182",neutral,0.61
M0284,U204,2025-11-24 14:34:46,User enjoys studying machine learning,project,4.3,2.4,"AI, learning, career","[-0.5184, -0.837, -0.6077, 0.319, -0.3812]",voice,2026-01-13 14:34:46,16,0.66,"technology, education","M0482, M0942",negative,0.66
M0285,U209,2024-10-19 14:34:46,User enjoys studying machine learning,emotion,9.5,9.7,"AI, learning, career","[0.4997, 0.7708, 0.575, 0.4191, -0.5358]",document,2025-01-08 14:34:46,18,0.31,"technology, education","M0417, M0714",neutral,0.89
M0286,U243,2025-10-17 14:34:46,User wants to become an AI engineer,event,6.7,1.9,"AI, learning, career","[-0.3148, -0.9456, 0.09, -0.9108, -0.5938]",chatbot,2025-12-22 14:34:46,11,0.15,"technology, education","M0812, M0378",neutral,0.99
M0287,U019,2026-02-21 14:34:46,User completed a cloud computing project,schedule,3.3,8.3,"AI, learning, career","[0.7741, 0.8964, -0.9008, 0.1015, 0.9514]",voice,2026-03-18 14:34:46,6,0.65,"technology, education","M0833, M0993",negative,0.67
M0288,U084,2026-03-15 14:34:46,User completed a cloud computing project,project,5.2,4.9,"AI, learning, career","[0.9229, -0.0223, -0.838, 0.8952, 0.6179]",voice,2026-05-01 14:34:46,20,0.16,"technology, education","M0072, M0830",positive,0.61
M0289,U034,2024-07-07 14:34:46,User is building an AI memory engine,habit,7.0,5.4,"AI, learning, career","[0.7579, -0.671, -0.8173, -0.2508, 0.9346]",document,2024-11-02 14:34:46,11,0.11,"technology, education","M0881, M0759",negative,0.94
M0290,U233,2025-08-26 14:34:46,User is building an AI memory engine,study,9.5,7.4,"AI, learning, career","[-0.4716, 0.5819, -0.71, 0.5606, 0.1009]",image,2025-11-27 14:34:46,3,0.83,"technology, education","M0371, M0929",negative,0.67
M0291,U234,2025-06-20 14:34:46,User wants to become an AI engineer,project,3.5,6.9,"AI, learning, career","[0.3176, -0.2187, -0.6231, 0.1583, 0.0566]",chatbot,2025-07-27 14:34:46,14,0.62,"technology, education","M0298, M0774",negative,0.9
M0292,U029,2024-07-01 14:34:46,User wants to become an AI engineer,event,9.5,6.9,"AI, learning, career","[0.0319, 0.5449, -0.0412, 0.4156, -0.2182]",image,2024-08-29 14:34:46,16,0.14,"technology, education","M0781, M0200",negative,0.9
M0293,U175,2024-12-19 14:34:46,User completed a cloud computing project,study,1.6,3.0,"AI, learning, career","[0.1674, -0.1247, -0.7754, -0.9128, -0.6745]",chatbot,2025-02-13 14:34:46,12,0.97,"technology, education","M0486, M0509",positive,0.61
M0294,U138,2025-06-20 14:34:46,User practices coding daily,study,3.4,2.5,"AI, learning, career","[0.6916, -0.2137, 0.0269, -0.4151, -0.8874]",voice,2025-08-10 14:34:46,9,0.34,"technology, education","M0346, M0469",negative,0.9
M0295,U069,2024-12-03 14:34:46,User practices coding daily,study,8.5,5.2,"AI, learning, career","[-0.9701, -0.2471, -0.2165, 0.5882, 0.4493]",image,2025-02-18 14:34:46,19,0.49,"technology, education","M0495, M0380",negative,0.85
M0296,U157,2025-03-29 14:34:46,User is building an AI memory engine,schedule,3.0,3.8,"AI, learning, career","[0.6791, 0.8252, 0.2985, -0.141, 0.2692]",image,2025-05-07 14:34:46,10,0.26,"technology, education","M0265, M0379",negative,0.71
M0297,U196,2025-06-13 14:34:46,User practices coding daily,schedule,3.6,7.1,"AI, learning, career","[0.6744, -0.9813, 0.8473, -0.3552, -0.6864]",chatbot,2025-06-23 14:34:46,11,0.65,"technology, education","M0697, M0533",neutral,0.53
M0298,U092,2025-09-12 14:34:46,User enjoys studying machine learning,event,5.9,6.4,"AI, learning, career","[-0.1379, -0.0358, 0.1533, 0.7681, -0.0545]",voice,2025-10-30 14:34:46,19,0.59,"technology, education","M0341, M0258",negative,0.9
M0299,U245,2025-11-04 14:34:46,User wants to become an AI engineer,career_goal,3.9,6.0,"AI, learning, career","[-0.2447, -0.6112, 0.4148, 0.6939, 0.2186]",document,2026-01-19 14:34:46,0,0.77,"technology, education","M0990, M0384",negative,0.58
M0300,U134,2025-03-24 14:34:46,User enjoys studying machine learning,emotion,2.9,3.0,"AI, learning, career","[0.7465, 0.615, -0.5394, -0.6297, 0.5242]",document,2025-07-12 14:34:46,16,0.57,"technology, education","M0621, M0714",negative,0.95
M0301,U180,2024-11-05 14:34:46,User practices coding daily,study,8.2,1.8,"AI, learning, career","[0.3645, -0.5572, 0.4595, -0.5944, -0.9226]",document,2025-01-16 14:34:46,15,0.63,"technology, education","M0897, M0527",positive,1.0
M0302,U106,2025-03-07 14:34:46,User enjoys studying machine learning,relationship,4.7,1.9,"AI, learning, career","[-0.9138, -0.2462, -0.9551, 0.0712, -0.0807]",chatbot,2025-05-20 14:34:46,12,0.85,"technology, education","M0501, M0055",neutral,0.94
M0303,U179,2025-02-08 14:34:46,User enjoys studying machine learning,skill,5.8,4.4,"AI, learning, career","[-0.3192, -0.8312, -0.9252, -0.5887, -0.2566]",document,2025-06-08 14:34:46,17,0.57,"technology, education","M0383, M0525",neutral,0.78
M0304,U143,2025-05-05 14:34:46,User enjoys studying machine learning,emotion,2.1,4.7,"AI, learning, career","[-0.0353, 0.7725, -0.5424, 0.9916, 0.5947]",document,2025-06-19 14:34:46,9,0.45,"technology, education","M0893, M0941",neutral,0.82
M0305,U210,2025-07-13 14:34:46,User wants to become an AI engineer,project,4.1,4.8,"AI, learning, career","[0.7854, -0.6241, 0.2584, 0.9941, -0.9637]",voice,2025-10-02 14:34:46,1,0.28,"technology, education","M0193, M0716",neutral,0.85
M0306,U014,2024-09-23 14:34:46,User completed a cloud computing project,relationship,9.1,9.1,"AI, learning, career","[0.0272, 0.8726, -0.0903, -0.5615, -0.5228]",voice,2024-12-31 14:34:46,2,0.37,"technology, education","M0912, M0718",positive,0.74
M0307,U025,2025-09-02 14:34:46,User completed a cloud computing project,event,5.5,8.1,"AI, learning, career","[0.4998, -0.1231, -0.9433, -0.2787, 0.1625]",chatbot,2025-10-31 14:34:46,10,0.62,"technology, education","M0415, M0262",positive,0.92
M0308,U168,2025-10-12 14:34:46,User wants to become an AI engineer,schedule,5.2,6.6,"AI, learning, career","[0.8219, -0.401, -0.047, -0.4947, -0.5611]",image,2026-02-03 14:34:46,13,0.79,"technology, education","M0802, M0538",negative,0.89
M0309,U080,2026-01-28 14:34:46,User practices coding daily,event,5.5,4.4,"AI, learning, career","[0.0789, -0.0047, -0.8155, 0.422, 0.2178]",voice,2026-02-19 14:34:46,4,0.34,"technology, education","M0007, M0416",negative,0.55
M0310,U020,2025-11-19 14:34:46,User is building an AI memory engine,study,7.2,9.3,"AI, learning, career","[-0.655, -0.1234, 0.8332, 0.5042, -0.0371]",document,2025-11-29 14:34:46,20,0.07,"technology, education","M0766, M0003",negative,0.98
M0311,U110,2025-09-06 14:34:46,User wants to become an AI engineer,habit,1.9,4.1,"AI, learning, career","[0.3092, -0.8841, -0.3017, -0.1613, 0.3671]",document,2025-09-18 14:34:46,0,0.96,"technology, education","M0443, M0144",positive,0.66
